"Index","open","high","low","close","volume"
2013-08-28,0,NA,NA,3.75,0
2013-08-29,0,NA,NA,3.75,0
2013-09-11,0,NA,NA,3.75,0
2013-09-18,3.75,3.75,3.75,3.75,100
2013-09-23,0,NA,NA,3.75,0
2013-10-01,0,NA,NA,3.75,0
2013-10-04,0,NA,NA,3.75,0
2013-10-07,0,NA,NA,3.75,0
2013-10-08,0,NA,NA,3.75,0
2013-10-14,0,NA,NA,3.75,0
2013-10-15,0,NA,NA,3.75,0
2013-10-16,0,NA,NA,3.75,0
2013-10-18,0,NA,NA,3.75,0
2013-10-22,0,NA,NA,3.75,0
2013-10-23,3.59,3.59,3.59,3.59,100
2013-10-24,0,NA,NA,3.59,0
2013-10-28,0,NA,NA,3.59,0
2013-10-29,0,NA,NA,3.59,0
2013-11-05,0,NA,NA,3.59,0
2013-11-07,0,NA,NA,3.59,0
2013-11-14,0,NA,NA,3.59,0
2013-11-25,0,NA,NA,3.59,0
2013-11-27,0,NA,NA,3.59,0
2013-12-03,0,NA,NA,3.59,0
2013-12-05,0,NA,NA,3.59,0
2013-12-06,3.5,3.5,3.5,3.5,100
2013-12-10,3.5,3.5,3.5,3.5,100
2013-12-27,0,NA,NA,3.5,0
2014-01-08,0,NA,NA,3.5,0
2014-01-10,0,NA,NA,3.5,0
2014-02-11,0,NA,NA,3.5,0
2014-02-12,0,NA,NA,3.5,0
2014-02-13,0,NA,NA,3.5,0
2014-02-14,0,NA,NA,3.5,0
2014-02-17,0,NA,NA,3.5,0
2014-02-18,0,NA,NA,3.5,0
2014-02-19,0,NA,NA,3.5,0
2014-02-20,0,NA,NA,3.5,0
2014-02-21,0,NA,NA,3.5,0
2014-02-24,0,NA,NA,3.5,0
2014-02-25,0,NA,NA,3.5,0
2014-02-26,0,NA,NA,3.5,0
2014-02-27,0,NA,NA,3.5,0
2014-02-28,0,NA,NA,3.5,0
2014-03-05,0,NA,NA,3.5,0
2014-03-06,0,NA,NA,3.5,0
2014-03-07,0,NA,NA,3.5,0
2014-03-10,0,NA,NA,3.5,0
2014-03-11,2.51,2.51,2.51,2.51,200
2014-03-12,2.53,2.53,2.53,2.53,100
2014-03-13,0,NA,NA,2.53,0
2014-03-14,0,NA,NA,2.53,0
2014-03-17,0,NA,NA,2.53,0
2014-03-18,0,NA,NA,2.53,0
2014-03-19,0,NA,NA,2.53,0
2014-03-20,0,NA,NA,2.53,0
2014-03-21,0,NA,NA,2.53,0
2014-03-24,0,NA,NA,2.53,0
2014-03-25,0,NA,NA,2.53,0
2014-03-26,2.71,2.71,2.71,2.71,100
2014-03-27,0,NA,NA,2.71,0
2014-03-28,0,NA,NA,2.71,0
2014-03-31,3,3,3,3,200
2014-04-01,3,3,3,3,100
2014-04-02,0,NA,NA,3,0
2014-04-03,3,3,3,3,100
2014-04-04,3,3,3,3,800
2014-04-07,2.9,2.9,2.9,2.9,300
2014-04-08,2.7,2.7,2.7,2.7,1500
2014-04-09,2.7,2.7,2.7,2.7,500
2014-04-10,0,NA,NA,2.7,0
2014-04-11,0,NA,NA,2.7,0
2014-04-14,0,NA,NA,2.7,0
2014-04-15,0,NA,NA,2.7,0
2014-04-16,3,3,3,3,500
2014-04-17,0,NA,NA,3,0
2014-04-22,0,NA,NA,3,0
2014-04-23,0,NA,NA,3,0
2014-04-24,0,NA,NA,3,0
2014-04-25,0,NA,NA,3,0
2014-04-28,0,NA,NA,3,0
2014-04-29,0,NA,NA,3,0
2014-04-30,0,NA,NA,3,0
2014-05-02,0,NA,NA,3,0
2014-05-05,0,NA,NA,3,0
2014-05-06,0,NA,NA,3,0
2014-05-07,0,NA,NA,3,0
2014-05-08,0,NA,NA,3,0
2014-05-09,0,NA,NA,3,0
2014-05-12,0,NA,NA,3,0
2014-05-13,0,NA,NA,3,0
2014-05-14,0,NA,NA,3,0
2014-05-15,0,NA,NA,3,0
2014-05-16,0,NA,NA,3,0
2014-05-19,0,NA,NA,3,0
2014-05-20,0,NA,NA,3,0
2014-05-21,0,NA,NA,3,0
2014-05-22,0,NA,NA,3,0
2014-05-23,0,NA,NA,3,0
2014-05-26,0,NA,NA,3,0
2014-05-27,0,NA,NA,3,0
2014-05-28,0,NA,NA,3,0
2014-05-29,0,NA,NA,3,0
2014-05-30,0,NA,NA,3,0
2014-06-02,3,3,3,3,1700
2014-06-03,0,NA,NA,3,0
2014-06-04,0,NA,NA,3,0
2014-06-05,0,NA,NA,3,0
2014-06-06,0,NA,NA,3,0
2014-06-09,0,NA,NA,3,0
2014-06-10,0,NA,NA,3,0
2014-06-11,3,3,3,3,300
2014-06-13,0,NA,NA,3,0
2014-06-16,0,NA,NA,3,0
2014-06-17,0,NA,NA,3,0
2014-06-18,3,3,3,3,1500
2014-06-20,0,NA,NA,3,0
2014-06-23,0,NA,NA,3,0
2014-06-24,0,NA,NA,3,0
2014-06-25,0,NA,NA,3,0
2014-06-26,0,NA,NA,3,0
2014-06-27,0,NA,NA,3,0
2014-06-30,0,NA,NA,3,0
2014-07-01,0,NA,NA,3,0
2014-07-03,0,NA,NA,3,0
2014-07-04,0,NA,NA,3,0
2014-07-07,0,NA,NA,3,0
2014-07-08,0,NA,NA,3,0
2014-07-10,0,NA,NA,3,0
2014-07-11,0,NA,NA,3,0
2014-07-14,0,NA,NA,3,0
2014-07-15,0,NA,NA,3,0
2014-07-16,3,3,3,3,100
2014-07-17,0,NA,NA,3,0
2014-07-18,0,NA,NA,3,0
2014-07-22,0,NA,NA,3,0
2014-07-23,0,NA,NA,3,0
2014-07-24,0,NA,NA,3,0
2014-07-25,0,NA,NA,3,0
2014-07-28,0,NA,NA,3,0
2014-07-29,0,NA,NA,3,0
2014-07-30,0,NA,NA,3,0
2014-07-31,0,NA,NA,3,0
2014-08-01,0,NA,NA,3,0
2014-08-04,0,NA,NA,3,0
2014-08-05,0,NA,NA,3,0
2014-08-06,0,NA,NA,3,0
2014-08-07,0,NA,NA,3,0
2014-08-08,0,NA,NA,3,0
2014-08-11,0,NA,NA,3,0
2014-08-12,0,NA,NA,3,0
2014-08-13,0,NA,NA,3,0
2014-08-14,0,NA,NA,3,0
2014-08-15,0,NA,NA,3,0
2014-08-18,0,NA,NA,3,0
2014-08-19,0,NA,NA,3,0
2014-08-20,0,NA,NA,3,0
2014-08-21,0,NA,NA,3,0
2014-08-22,0,NA,NA,3,0
2014-08-25,0,NA,NA,3,0
2014-08-26,2.94,2.94,2.94,2.94,200
2014-08-27,2.89,2.89,2.89,2.89,100
2014-08-28,2.89,2.89,2.89,2.89,200
2014-08-29,0,NA,NA,2.89,0
2014-09-01,2.89,2.89,2.89,2.89,200
2014-09-02,2.89,2.89,2.76,2.81,6100
2014-09-03,2.8,2.8,2.8,2.8,5000
2014-09-04,2.89,2.89,2.8,2.8,300
2014-09-05,2.89,2.89,2.8,2.8,900
2014-09-08,2.8,2.8,2.75,2.75,900
2014-09-09,0,NA,NA,2.75,0
2014-09-10,0,NA,NA,2.75,0
2014-09-11,0,NA,NA,2.75,0
2014-09-12,0,NA,NA,2.75,0
2014-09-15,2.76,2.76,2.76,2.76,100
